Username;Comment;Time
@CelesAcc;Inflasi 😢;1 tahun yang lalu
@Manusya-xy6yh;Kalo gitu mah Mau di BAGI DUA tapi sayang💀🗿;1 tahun yang lalu
@anotheryuki;Bang udah bang kasian 🗿;1 tahun yang lalu
@Corosin;siapa sangka;1 tahun yang lalu
@saptonugroho1185;Kiko jujur kasian;1 tahun yang lalu
@AA-fy3ow;​ @CordyCepsC perasaan dlu masih seribu😢;1 tahun yang lalu (diedit)
@pov66555;Anjjjjj;1 tahun yang lalu
@muhammadromandon8536;Cuman es kiko doang mahal bgt;1 tahun yang lalu
@hdaaqq;Menolak kenyataan;1 tahun yang lalu
@nacung_;Klo ngomong jgn jujur-jujur napa😊;1 tahun yang lalu
@ramdaniahkri;​ @Corosin 😮;1 tahun yang lalu (diedit)
@devino.edizzz;Iy;1 tahun yang lalu
@k4des507;Bang udah banggg;1 tahun yang lalu
@rizky_latengantak;Jirr lahh fak kata gwe teh🤣;1 tahun yang lalu
@RDML_ALDRD;Gara² kakak saya keknya;1 tahun yang lalu
@VHS_L10;plot twis ya ges ya;1 tahun yang lalu
@noviantobp9999;Mahal juga Kikonya 😂🤣;1 tahun yang lalu
@monnn.10_;eits bagi 2;1 tahun yang lalu
@nazaratalarik1745;aduh😂😊;1 tahun yang lalu
@danyprayoga6267;TAKDER;1 tahun yang lalu
@pluviophile_4631;😢;1 tahun yang lalu
@LeonzyZein;Waduh  Mahalbet;1 tahun yang lalu
@nanangprabowo2162;Kiko Enak tau;1 tahun yang lalu
@Yuichro269;Iya 😢;1 tahun yang lalu
@KuroShiroZero;Kiko rasa gojo😂;1 tahun yang lalu
@AhmadRifai-xn3ho;eitsss bagi dua;1 tahun yang lalu
@raditnarendra5119;Bang udah bang;1 tahun yang lalu
@Raze_shun;​ @ahmadabidfaizin577 lah kirain rasa anggur 🗿;1 tahun yang lalu (diedit)
@muhammadfaza8085;"Ye gk kiko
Gojo loh hidup lagi yee";1 tahun yang lalu
@Raze_shun; @muhammadfaza8085  udah ikhlasin aja;1 tahun yang lalu (diedit)
@Raze_shun; @muhammadfaza8085  kalau hidup lagi jadi gk masuk akal nanti;1 tahun yang lalu (diedit)
@yuliani1185;Es kiko dalam nya rasa strawberry;1 tahun yang lalu
@elkhatam;Eitss bagi dua;1 tahun yang lalu
@ginasintiyaa;bang udah bang;1 tahun yang lalu
@ginasintiyaa;bang udah bang;1 tahun yang lalu
@Vxinz7;Wkwk;1 tahun yang lalu
@aranachanelvideolucu;Kurang mirip sih ini figurenya ga realistis, potek dikit ga ngaruh;1 tahun yang lalu
@aranachanelvideolucu;Rasanya rasa kekalahan anjir wkwkwk bukan rasa anggur;1 tahun yang lalu
@AA-dg1bh;Norak;1 tahun yang lalu
@daniarifani3899;Tauah, kiko sekarang harganya Rp 10,000,000.- 😂;1 tahun yang lalu
@M.U.A271;Lah iya. Itu es kiko nya rasa apa ya kok mahal bangettt😢☹️🗿;1 tahun yang lalu
@aranachanelvideolucu; @M.U.A271  Rasa kekalahan;1 tahun yang lalu (diedit)
@Mowwwww07;Kiko premium;1 tahun yang lalu
@_Faimenpakek_P;Itu yg 10 Jt engak ada mainannya Bang? 0:06;1 tahun yang lalu
@K-Remlin;Mengenaskan 😂;1 tahun yang lalu
@Dwipayana530;KIKO Apaan Sihh Es Cream KIKO?;1 tahun yang lalu
@Sen_official_asli;Para koruptor yang menjual kiko;1 tahun yang lalu
@nafisadwikamila5881;​ 11:06;1 tahun yang lalu
@SYA_Xx;kiko yg ini berbeze;1 tahun yang lalu
@magnummild5124;Bang Medy coba lah beli kilo 10jt ×10;1 tahun yang lalu
@ferdyan6881;Absen;1 tahun yang lalu
@thomasslebeww4624;😅;1 tahun yang lalu
@Yaseroline73;"Disini gw cuman mau bilang Gojo itu tidak mati terbelah ya....


















Cuman kebagi dua aja🗿";1 tahun yang lalu
@justinhan1344;Buset kiko 😂;1 tahun yang lalu
@KyBlaze;Dlu perasaan 1rb 😢;1 tahun yang lalu
@Reujin-th2lg;Jujutsu Kaisen : Jujur kasian;1 tahun yang lalu
@OhmaZi-O1-A;"Ga nyangka Gw itu kan Jajanan Favorit Gw dulu.
Btw, Kiko Enak Tau";1 tahun yang lalu
@Harisgaming12345;Kiko yang ku tau cuman beberapa ribu, Ternyata Kiko yang satu ini 10 jt🥲;1 tahun yang lalu
@elshuraaa;kiko skrg naik nya gila²an;1 tahun yang lalu
@maybeits8226;Nangis bgt😢;1 tahun yang lalu
@sedmood7309;Gui;1 tahun yang lalu
@riyanitsth;Hoak;1 tahun yang lalu
@Nothing-tz3xp;Soal nya lagi colab ama jjk:v;1 tahun yang lalu
@Metal_Roaster;Sshhhh anj spoiler🗿;1 tahun yang lalu
@alfandoandrean;Itu kardusnya bikin sendiri;1 tahun yang lalu
@Cecillion_MLBB_Fan;​ @Dwipayana530 itu kiko gojo yg kebelah dua🗿;1 tahun yang lalu (diedit)
@YELZZ-q1i;Padahal gw dulu beli kiko cuma 1000 an lohhh...😥😥 Sekarang udh smpe 10.000.000😥😥;1 tahun yang lalu
@JULLHZ;Kikokk;1 tahun yang lalu
@kokodeven;Sama😅;1 tahun yang lalu
@FYUZ.X;Kepengen😭;1 tahun yang lalu
@Inzzken;Rill;1 tahun yang lalu
@radithyaathar5653;​ @muhammadfaza8085 menolak fakta 😂😂😂;1 tahun yang lalu (diedit)
@muhreyhand9245;kiko enak tau diwarungan bnyak murah, enak lagi;1 tahun yang lalu
@ninabobo1799;Yang sabar bang;1 tahun yang lalu
@itsmekaa2410;Kiko? Mahal tau😢;1 tahun yang lalu
@afrizalg8778;Harga kiko sekarang setara dengan PS 5;1 tahun yang lalu
@Somoene18;"Gojo satoru✘
Kiko satoru✔🗿🗿🗿🗿🗿🗿🗿";1 tahun yang lalu
@BLU3_KLF;Iya yah;1 tahun yang lalu
@Zipe900;orang paling serius;1 tahun yang lalu
@hsccall8924;Mau gimana lagi.gojo sama kiko sekarang susah di bedain. Jadi banyak penipu yang jual gojo tapi isinya kiko;1 tahun yang lalu
@firzanazlamaliha3851;Bang 😢;1 tahun yang lalu
@JUNAA9;HADIIIRRRR;1 tahun yang lalu
@risdarmawan280;Gojo enak tau;1 tahun yang lalu
@ashaaa7195;diem lukh irham😭👎;1 tahun yang lalu
@dikaplayerepep;​ @radittiyariski1477 🗿🗿🗿🗿🗿🗿🗿;1 tahun yang lalu (diedit)
@Manusiahijau24;Mungkin aja di masa depan;1 tahun yang lalu
@Azkaultra;Pasti import Antartika 😰😰;1 tahun yang lalu
@naina1398;Syedihhh;1 tahun yang lalu
@tenia82;😂😂 mahal bet😭🙏;1 tahun yang lalu
@Its_nahlaaa; @kendyaulia4218 membuat dompet menipis…😱👆;1 tahun yang lalu (diedit)
@izukoarachi6732;Aduh bang jangan di ingetin atuh😁;1 tahun yang lalu
@ggbb056;😅😂😂 ,limited edition 😅;1 tahun yang lalu
@jusriizhamahendra3624;Makin lama kiko jadi makin mahal ya;1 tahun yang lalu
@tuahibrahim5896;😢;1 tahun yang lalu
@lindalestari-el5sh;Tapi katanya ess Kiko nya ada ginjal nya loh;1 tahun yang lalu
@Zenoicgaming;Jangan bilang kiko tuh mahal;1 tahun yang lalu
@asepsaipudin3632;Masa;1 tahun yang lalu
@SyafaDewiaml;Kok lu bilang kiko si😢;1 tahun yang lalu
@ChachaCha-v5q;Sabar ya😢;1 tahun yang lalu
@Somebody27442;Ada diskon, harganya dibagi dua 🗿tapi dapetnya nya cuma setengah;1 tahun yang lalu
@Albi-l2t;Tapi Kiko nya hidup;1 tahun yang lalu
@rizkyrizky7382;RiKY;1 tahun yang lalu
@hobitripleF;Kiko nya lebih enak kali🗿;1 tahun yang lalu
@Riski-z6j8c;#DUH #BARU #TAU #HARGA #KIKO #TAUN #INI #SAMPE #10JUTA;1 tahun yang lalu
@Sipalingwibu-q5h;Baru tau gua kiko harga nya 10 jt;1 tahun yang lalu
@S.A.S12760;Aku tau kenapa dapat kiko karena gojo udah mati badannya terbelah 2 seperti kiko;1 tahun yang lalu
@808j8;Sedih;1 tahun yang lalu
@puspafelishandini4948;Mahal banget kiko;11 bulan yang lalu
@arinamanasikana6887;Njir nantangin fans kiko;11 bulan yang lalu
@REAL-m8z;Kepala bapak kau Kiko;11 bulan yang lalu
@RestlessUploader2331;Cuma beli kiko ga ada gunanya abisin 10 juta😭😭😭;11 bulan yang lalu
@VivoSmart-e5f;Kalo gitu mending gak usah bli gojo satoru yg harga 10.000.000;10 bulan yang lalu
@Axchilll;Donat ga ad;10 bulan yang lalu
@xxxyyyzzz99;kiko bukan sembarang kiko emg😂;9 bulan yang lalu
@deibrylalenoh3622;Mantap di dibilang 💀;8 bulan yang lalu
@RozakHermanto;Lu ketinggalan info yang sabar ya😊;8 bulan yang lalu
@kevin_rajasuki;Bukan kek gitu kak dia bercanda sebenarnya gojo udah jadi kiko 🗿;8 bulan yang lalu
@NaufalkenzioAkayla;Mahal banget;8 bulan yang lalu
@Heeyzee;Maksud?;8 bulan yang lalu
@Abizardfs202;Coba dibuka dulu ada kode;7 bulan yang lalu
@lchanel2573;🗿🗿;6 bulan yang lalu
@PLAYER_GAMING-ZXZ;Jan di spil;6 bulan yang lalu
@AzfarTeguh;Gila yang mau beli kiko langsung amandel cok;6 bulan yang lalu
@Can_lee-41;Maklum gojo pernah jadi kiko satoru;4 bulan yang lalu
@Adnan-ec9bv;Ehh kok bisa Ampe 10 JT perasaan kiko harganya cuman  seribu;3 bulan yang lalu
@SariSyahfri;Wkwkwkw gak boleh gitu fans sukuna bukanya sedih malah ngeledek;2 minggu yang lalu
@rendiolan2454;Uejeue;6 hari yang lalu
@rheinaarya8052;10 juta kiko karena gojo mati di jujutsu kaisen episode 236🗿di belah sukuna;1 bulan yang lalu (diedit)
@AronleeNgindang;Aku termurah kerana lucu;1 bulan yang lalu
@adam-q8e3k;Gojo nya kaya pop mart;1 bulan yang lalu
@Beccekkk;0:02 0:02 0:03 aku sudah pakai ❤❤;1 bulan yang lalu
@Ian05gaming;Em tawar ya belum dibumbuin gob;1 bulan yang lalu
@Radityaadit-u4m;Bang sekali kek beli mainan kilua yang di flim hunterxhunter;1 bulan yang lalu
@Junaszkhreud;ジュナ;1 bulan yang lalu
@AmrinaRasyada-m8x;Aduh lagi puasa😭mana laper;1 bulan yang lalu
@hyun_doang;aku juga punya baju yg sama lah😭🙏;1 bulan yang lalu
@KaylaSyaswift;AAAAA GOJO SATORU,gara-gara lu aku jadi WIBU😫😫;2 bulan yang lalu
@fico_animasi;7:50 Halah baru 3jt sepada gua harganya 5jt;2 bulan yang lalu
@cutiennael;Bangke anyinh ending nya😭😭😭;2 bulan yang lalu
@PokiLokim;# gojo ganteng;2 bulan yang lalu
@nessungie;SUMPAH KESEL BGT GUA;2 bulan yang lalu
@riris93;no gojo ku di makan;2 bulan yang lalu
@InfinixPhone-w1b;"bang medy harus nya rugi 
Gojo yang 10jt
Di dekat rumah aku ada gojo yang 10jt itu tapi harganya 15rp";2 bulan yang lalu
@GotmanFaris;bang lu wibu ya kenapa lu sering unboxing wibu;2 bulan yang lalu
@yaddinaziz5208;😍😍😍😍;2 bulan yang lalu
@Boyyukq7;Bjr msm;3 bulan yang lalu
@EnjamMuhammadHasyim;Bang coba beli mainan kamen rider den o, yang bisa jadi 4 form;3 bulan yang lalu
@devilboy9660;siapa;1 bulan yang lalu
@IlfansyaLahrianto;Rasa kekalahan gak tuh;3 bulan yang lalu
@gojosatoru-e6n9j;Gojo kiko;3 bulan yang lalu
@AriMuryanti-e6r;Gojo kiko wkkwkwkw;3 bulan yang lalu
@SukatijahEnda;"Noooo my Gojo

The real penghianat Jujitsu Kaisen 😢😭";3 bulan yang lalu
@kajeff6029;gua udah serius pdhal, eh taunya yg keluar kiko😭😭💔;3 bulan yang lalu
@HaidaIbrahim;Apakah gojo satoruberyarung dan punya kuasa berubah menjadi kiko😐🤔;3 bulan yang lalu
@davisaksena67;12:13 baru tau kiko jadi langkah dikalangan youtuber;3 bulan yang lalu
@MY-xw3gx;Bang Medy mainan gojo threezero itu ngak jual di Malaysia kah bang?;3 bulan yang lalu (diedit)
@ArifArif-ho4zi;Sukuna;4 bulan yang lalu
@sarahrosiana5243;bang kata temen ku namanya gojo kiko😂😂;4 bulan yang lalu
@Argus-v2w;BG gw punya yang 28 RB tapi yang yuji;4 bulan yang lalu
@muhammadsakri6736;Aku mau😢😢😢😢😢😢;4 bulan yang lalu
@Sheeva_29;Parah husbu gua🗿;4 bulan yang lalu
@lindarosdianti5981;SpongeBob beli patung Ronaldo bank;4 bulan yang lalu
@RezaAndika-cq9yr;28 buat bocil banyak bang;4 bulan yang lalu
@GOJO_EDITZZZ.0;Baru nyadar kiko adalah gojo jadi selama ini aku belah 2 gojo terus aku makan🗿;4 bulan yang lalu
@bolangsukawangi3889;bang saya sudah subcribe😄😆;4 bulan yang lalu
@Kakhawww;Hubungannya kan gojo badannya kepisah;4 bulan yang lalu
@Dardoverlord;Sukunya dengan pow;4 bulan yang lalu
@AdamIrfanTV1;Bang nama sebernar si gojo itu gelojoh😂;4 bulan yang lalu
@BADUT-p2w;Kiko termahal makanan mahal banget cumak es kiko ini termahal sih gw beli aja seribu ini 10 juta 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂;4 bulan yang lalu
@YuniRestu-c2g;Bang aku punya robot gundam;5 bulan yang lalu
@sagitarius11;Mirip kaya di animasinya gojo mati di pas final battle lawan sukuna terus pas belum bertarung sukunanya bilang ke gojo apakah kamu siap menjadi ikan yg siap dipotong terus gojonya bilang nah i,d win pas pake limitles hollow purple diatas langit terus sukuna sekarat tapi sukuna langsung potong gojo terus sukuna berhasil belah tubuh gojo gitu ceritanya bg😊😊😊 yg mau nonton namanya judas😊😊;5 bulan yang lalu
@billychalif6502;Bang ngoleksi hotwheels dong bang;5 bulan yang lalu
@antonalatas1549;jari sukuna;5 bulan yang lalu
@azizah_123.kucing;10 juta ko kiko?;5 bulan yang lalu
@purwatiapung9989;Hubungan gojo dan eskiko adalah sama sama dipotong😂;5 bulan yang lalu
@IrwanIrwan-i5w;Karena gojo kan badanya kepoton sama sukuna;5 bulan yang lalu
@terasborobudur3968;Gw yang suka gojo auto subscribe 🗿;5 bulan yang lalu
@IGustiAgungPrabhawa;Bang shf juga bagus;5 bulan yang lalu
@almaem8407;Isinya kiko 😂 dan ada apa itu namanya di bawah kiko;5 bulan yang lalu
@jiyamalif5795;Mahal amat buat beli es kiko;5 bulan yang lalu
@PLAYSEN06;"11:48 detik detik ""gome amanai""";5 bulan yang lalu
@dianachiborit;bang kunai nya mana apa udah terlupakan;5 bulan yang lalu
@irsyadfitrajaya638;itu bukan kandang yang bener dari box;5 bulan yang lalu
@33productionhouse6;ngereview makanan yak ges yak;5 bulan yang lalu
@Budikurniawan-d3t;bang medy di shopi ada harganya 33.200;5 bulan yang lalu
@agussujarwo5471;Bang minta gw istri nya bang;5 bulan yang lalu
@SundaniSaja;Jahat banget lu bang lo 😢;5 bulan yang lalu
@GHABRIEL9264;Yah telat 1 thn;5 bulan yang lalu
@Haiaku-rubhi;Aku tahu hubungan es kiko dan gojo 😅;5 bulan yang lalu
@PAINZ-mokel;11:44  hubungannya gojo badannya pas mati terbelah :v;5 bulan yang lalu
@Roni123-ku5do;kiko kan 1ribu;6 bulan yang lalu
@Septian_553;Di daerah ku pop mie ada;6 bulan yang lalu
@AzfarTeguh;Anjay gojo oiya gojo nama nya mirip zoro;6 bulan yang lalu
@Mikhailyumahindra;Gojo tuh udah jadi kiko enak tau😅;6 bulan yang lalu
@MansyurHulaifi;Kilo satoro;6 bulan yang lalu
@Jumsih-od9cq;Halo aku udah nonton vidio abg dari lima th;6 bulan yang lalu
@ItoshiVinzz;4:35 pasti nangis karna gojo jadi kiko tapi mahal 🗿;6 bulan yang lalu
@TantiSuryani-i8k;Merah + biru =kiko ungu;6 bulan yang lalu
@alvaroxkatanared;Aduh rugi banget 10 jt hanya untuk kiko 😂😂;6 bulan yang lalu
@triskafitriani;10 juta cuman buat beli kiko Satoru cih;6 bulan yang lalu
@SalmahYassin;你們怎麼尺寸莫;6 bulan yang lalu
@karyantooey6009;Gojo jadi kiko pas seson2 😂😂😂;6 bulan yang lalu
@PutraZenatta;Qq;6 bulan yang lalu
@keluargasanjaya393;𝖪𝖾𝗅𝖾𝗆𝖺𝗁𝖺𝗇 𝗇𝗒𝖺 𝗀𝗈𝗃𝗈 𝗂𝗍𝗎 𝗄𝗂𝗄𝗈;6 bulan yang lalu
@AbigailJoanna-m5u;Aku mau mainan gojo nya yang 2 juta😮;6 bulan yang lalu (diedit)
@hasanbisri5462;gojo satoru;6 bulan yang lalu
@AzshtaAzshta;Sukuna:enak bang gojo kiko;6 bulan yang lalu
@Bernkastel779;9:07 🤨🤨🤨;6 bulan yang lalu
@VinoNazril-o9q;bentuk nya kiko😅😅😅😅;6 bulan yang lalu
@GaviotagianAdyatma;Gojo kiko 🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿;6 bulan yang lalu
@rafardhanhamzah4787;Ternyata harga kiko naik;6 bulan yang lalu
@VatsVets;ditipu kau bang yang terahir😂😂;6 bulan yang lalu
@velensiafernanda4380;bang yang 10 juta  gojo lawan sukuna kan gojo kalah jadi gojo jadi kiko lah;6 bulan yang lalu
@giasuciani3364;Kak medy,unboxing gojo gym boy dong😍;6 bulan yang lalu
@alfipuspitasari8540;Bang cobain mainan aruto yang ada kuramanya nanti kalau Abang beli aku laik deh sampai 1jt;6 bulan yang lalu
@aswiewijaya724;Rasa kekalahan dan sedikit sentuhan terpotong;6 bulan yang lalu
@aswiewijaya724;Bang yg 10 jt gelap bgt 😅😅😅;6 bulan yang lalu
@FaisalSambimaya;What kiko 10jt?;6 bulan yang lalu
@NiKetutJuniMiranti;jadi Kiko;6 bulan yang lalu
@Whillemna;Ga ketebak;7 bulan yang lalu
@azambarra8821;Kalo gojo kiko nanti sukuna jadi pou dah;7 bulan yang lalu
@Rakaxrafa;mading buat beli KFC 🗿🤟;7 bulan yang lalu
@HamidahBahrom-ls5ng;Hoy ramah sekali 9:09;7 bulan yang lalu
@MikhaelStevenWidyazali;Yang 10juta itu Gojo yang mati sama sukuna;7 bulan yang lalu
@Kartun_Nakama;Es kiko doang 10jt 😰😰😓;7 bulan yang lalu
@azielhamizan6754;dari anime Jujutsu Kaisen dari yang TERMURAH sampai yang TERMAHAL! Nah kira-kira mana yang paling bagus diantara yang termurah sampai yang termahal?? UDAHLAH! Pokoknya saksikan hanya di;7 bulan yang lalu
@Bob_gideon12;Kiko nya banyak;7 bulan yang lalu
@yubi_gamer_Roblox;Yoaimo artinya lemah;7 bulan yang lalu
@RoblixianPlyr;Pembuat popmie bilek:beli doang ga di sponsori;7 bulan yang lalu
@SitiSofia-ts5yd;Cobalihat di bawah nya;7 bulan yang lalu
@Linggau1-e9y;🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚗🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝🚝;7 bulan yang lalu
@DewiWa-on2tf;Gojo pernah kebelah 2;7 bulan yang lalu
@ArulRizki-h6g;Coba review Android SpongeBob;7 bulan yang lalu
@ArulRizki-h6g;7:03 7:05 7:05 7:05 7:05 7:06 7:06 7:06;7 bulan yang lalu
@IchanLandong;Bang abongsing BOSX ANYA dong;7 bulan yang lalu
