Column1;Column2;Column3
@azmailiaziz8941;Sy sangat kagum ketika beliau disupiri  raja jordan blm ada pemimpin dunia spt ini.begitu sangat solmed dg raja jordan;21 jam yang lalu
@AyuFiesta-d2l;Semoga allah SWT mmberi kesehatan dan umur pnjg buat pk prabowo km rakyt kecil sngt bangga;21 jam yang lalu
@azmailiaziz8941;Smg terwujud apa yg di inginkan beliau indonesia macan asia. Awal kebangkitan indo .era skrg beliau jd presiden terpoler .mengharumkan indo. Pengganti sukarno;21 jam yang lalu
@AyuFiesta-d2l;Yakin pk prabowo bisa mmbwa negri ini bisa makmur sejahtera. Blm ada presiden seprti beliau trtm swasembada pangn;21 jam yang lalu
@widinatha;"Baiknya MBG' kasih cash sj pd ortu murid..biarkan murid bw nasi k sklh hasil masak ibunya.
dgn cttn pihak Sekolah' tetap, memfasilitasi tmpt &wkt utk acara makan brsm tsb.";21 jam yang lalu
@agusrianto8282;Hanya soekarna dan prabowo yg seperti ini;21 jam yang lalu
@HendriAgustian-ki1wb;Presiden Prabowo ..👍;21 jam yang lalu
@HendriAgustian-ki1wb;"Presiden Prabowo Presiden Terpengaruh Didunia Skrg Udah Terbukti ..👍
Alhamdillah ..✍️";21 jam yang lalu
@AryYurgantara;Kl mewancarai org itu mbok yg lancar berbicara bkn yg a,e a,e buat males dengar...;21 jam yang lalu
@azmailiaziz8941;Beliau sangat aktiv .bukan sekedar kunjungan kerja tp jg jago lobi tu keamanan dunia .rata2 pemimpin dunia teman beliau;21 jam yang lalu
@Johniepurnawan;Bang hendri datanya luar biasa. Terjun langsung kelapangan dia. Ngobrol brg masyarakat langsung. Panutan memang!!!;21 jam yang lalu
@darahnkri1173;"Kata Almarhum Gus Dur..
Kalo orang yg paling IKHLAS kpd Rakyat Indonesia itu Prabowo + Prabowo akan jd Presiden RI di masa Tua ☝️🇮🇩

Kata Panda Nababan Prabowo satu2 ny Presiden RI yg tanpa campur tangan 9 Naga oligarki Krn biaya nyapres sendiri + di bantu adik dan kluarga ny yg TRILIUNER .. maka nya Prabowo GALAK tdk ada yg berani DIKTE ✊💪🇮🇩

Di Republik ini tdk ada yg bisa men DIKTE sang PATRIOT sejati lebih TNI dr bnyak TNI purn Panglima Komando Strategi Angkatan Darat dan Purn Komandan Jenderal Kopassus Presiden RI ke 8 Haji Prabowo Subianto trsbut ✊💪🇮🇩

Tercatat dlm Sejarah Republik ini Prabowo berkali2 pertaruhkan NYAWA hingga Bbrp x hmpir TERB*NUH ketika di kepung Fretelin bkn hnya PETENTANG PETENTENG di blkg tp angkat senjata di GARDA terdepan demi MERAH PUTIH ❤🇮🇩✊💪

Prabowo bkn level2 gubernur.. beliau jauh lbh UNGGUL dr smua LINI 
Prabowo Subianto Sangat MUMPUNI di KANCAH Internasional Penuturan Bahasa Inggris TANPA TEKS jg tanpa I Pad Sangat FASIH mampu meyakinkan pemimpin2 DUNIA / tdk malu2 in BANGSA Indonesia krn beliau Besar Skolah di Jerman, Prancis, Inggris, dll..,dr Segi Ekonomi beliau Sangat Menguasai sbb beliau Pebisnis Sukses Migas dll di lahirkan ke muka bumi ini Dr Putra Begawan Ekonomi Sumitro Djojohadikusumo, cucu Pahlawan Raden Margono pendiri Bank BNI bnyak lg Jam TERBANG Beliau, maka nya beliau tau uang Negara itu BOCOR tp di Ejek2 di HINA2.. BOCOR2 krn yg Menghina Beliau, komplotan on ta dn komplotan ke bo barisan sakit hati para pecundang RT 16 RW 24 yg hati nya Bu suk di penuhi ib Lis see taan trsbut 👈🤮

Prabowo sangat Menguasai Strategi Militer, Geografi Teritorial Kedaulatan Negara Kesatuan Republik Indonesia Raya yg beliau sangat CINTA i ini .. bahwa Republik Indonesia di Kepung negara2 COMMONWEALTH jg Teritorial Natuna, Ambalat dll biar tdk ada yg berani coba-coba mengOBOK2 kedaulatan NKRI.. hanya yg CERDAS yg PAHAM dgn smua SUSUN ATUR KETIKAN BAHASA saya ini kcuali geng2 ke bo dan geng2 on ta trsbut 👈


Yg omon omon itu yaman pelaku korupsi formula E dan janggar pelaku korupsi e KTP bntr lg masuk bui 🤮🤮🤮🤮🤮

Berani SUMPAH 7 keturunan yg nyinyir kejang2 kelojotan baca smua cmmnt gue ini yaitu komplotan on ta dan komplotan ke bo barisan sakit hati para pecundang trsbut 👈👎👎

Prabowo - Gibran 2024 -2029 ✊✊💪💪❤️❤️🇮🇩🇮🇩";21 jam yang lalu
@sunaryonaryo6769;Harusnya beliau jadi presiden dari dulu lebih baik drpd Mulyono Krn lebih bermartabat Dimata dunia internasional;18 jam yang lalu
@L.334-e9l;tapi Abah hanya memberi nilai 11%/100% loh😂😂;15 menit yang lalu
@sallsagrenada6034;Bubarkan dulu ormasnya terutama peliharaan PDI investor pasti datang berbondong² tanpa gangguan sampah masyarakat;22 jam yang lalu
@LaluMashuriMuliadi;Kami rakyat Indonesia bangga punya pemimpin kelas dunia ..presiden Prabowo Subianto...;22 jam yang lalu
@Diengamnayou;Luar biasa keseriusan dan  ketegasan pak Prabowo membawah dampak terbaik di mata dunia 👍;22 jam yang lalu (diedit)
@abdulkholikbasoribasori4129;PM Malaysia no berapa;22 jam yang lalu
@EnengDede-g5u;"Alhamdulillah,,, Maju terus Bapak Presiden Ku,,, H. Jendral Prabowo Subianto,,, 
👍👍🇮🇩🇮🇩
Semoga kedepan Indonesia lebih di kenal dan di kagumi juga di segani oleh negara2 lain di Dunia,,, 

Maju terus Bapak ku,,,, Indonesia Maju Generasi Emas,,, 
Sehat2 selalu Bapak Ku,,, 👍👍🙏🙏❤❤
Bravo Indonesia,,, dan semoga Rakyat Indonesia Lebih Makmur dan Sejahtera,,, Damai dan Tentram,,, Berbudi baik dan bertutur bahasa yg baik juga berakhlak mulia menjunjung persatuan bangsa yg bersahaja,, Aamiin YRA🤲🤲🤲

Nkri harga mati🇮🇩🇮🇩🇮🇩👍👍👍";22 jam yang lalu
@andreaditya7;"""curang, itu hasil kecurangan, sudah dimanipulasi oleh pendukung 02"" ucap para buzzer wkwk";22 jam yang lalu
@danisdanis9413;"Semoga di pemerintahan pk Prabowo Indonesia 🇮🇩 makin maju di kancah internasional 
Seahat selalu buat bpk Prabowo ❤❤❤❤";22 jam yang lalu
@Andremaulanaw;Nah betul bang hensa.. kita masih optimis ya menanti mau dibawa kemana negeri ini.  Karena membangun sesuatu memang ga gampang. Tp kita masih optimis bang;22 jam yang lalu
@Jakpar-w2q;Mantap Prabowo  Gibran .❤❤❤❤❤❤❤❤;22 jam yang lalu
@teguhalizamzam;Alhamdulillah sy sebagai warga negara indonesia dan sebagai warga daerah jawabarat sangat bersyukur mempunyai presiden sekaliber dunia pengakuan nya(dalam bekerja serta pemikiran )dan gubernur sekaliber nasional pengakuan nya(dalam bekerja serta pemikiran) .. Saya yakin negara kita akan tumbuh maju dan jabar pun akan lebih maju terdepan.. Terimakasih pak presiden  prabowo dan Gubernur KDM;22 jam yang lalu
@rasidinazka7821;Kalau mobil smk gmna;22 jam yang lalu
@taufananindita1991;Betul kata bang hensa kita harus menjaga semangat dan optimisme bersama;22 jam yang lalu
@aditama9441;Yg vote orang indonesia semua;22 jam yang lalu
@cheanggavara7086;Pesona kosong;22 jam yang lalu
@Dodopampam1;Anis tetap di hati yaman;22 jam yang lalu
@aliwae6932;Hadeeeh.  Capek deh...bosen;22 jam yang lalu
@fantasya6292;Jooosss;22 jam yang lalu
@Apipi-f3v;kami rakyat ga butuh sanjungan dari luar negri kami butuh lapangan kerja sembako terjangkau..pelayanan kesehatan dan pendidikan berkualitas .itu yg kami inginkan;22 jam yang lalu
@Hermen3;"Setuju dengan komentar bang hendri
 "" rakyat Indonesia menyerahkan harapan dan masa depan di pundak Bapak Prabowo""
 Semoga Bapak Prabowo sehat terus dan tidak melupakan tujuan awal.";23 jam yang lalu
@fntc6317;OMON OMON,FAKTANYA DI DALAM NEGRI LAPANGAN KERJA SULIT,PHK DIMANA MANA,LAPANGAN KERJA SULIT,INVESTOR PADA HENGKANG ,ORMAS ORMAS MEMALAK.;23 jam yang lalu
@Berusaha909;Termasuk kau lah berarti😂😂;21 jam yang lalu
@RudyeX;Ijazah nya pasti asli;23 jam yang lalu
@cuan369;Prettt;23 jam yang lalu
@candrasusetyo6430;Survey Abal Abal, MBG gagal;23 jam yang lalu
@hardirock3211;Anak abah mana katanya survey di buat buat ini survey luar negeri masa indonesia yang buat😂;23 jam yang lalu
@ashmanurafifah5407;Tertarik sama metode risetnya semoga dapat bukan hanya hasilnya sehingga bisa ditelaah bersama. Tentu saja kalau program baik musti diteruskan. Teruskan opini kritisnya Bang Hendri!;23 jam yang lalu
@sitifasilah9509;Saya bangga sebagai pemilih Bpk prabowo dari 2014 sampk 2024 konsisten tidak memilih yg lain juga bukan karena gibran dan Alhamdulillah smg Bpk presiden  jadi terbaik sedunia aaamiiin;23 jam yang lalu
@BELLANEGRIKU;16 MASIH NONTON FILM BOK3P YANG 26 BUAT DOMPET SURGA , KELUAR DIKIT PAKAI KACA MATA HITAM 😂😂😂 BLM MOVE ON... GANJAL DAN AMIS 😂😂😂😂;23 jam yang lalu
@RonySetya-n1v;Malaydes nmr brp😂;23 jam yang lalu
@martinbadun5439;"Good Job Mr. Precident.
Membanggakan hati rakyatmu.
Teruslah berkarya. Tuhan memberkati Bangsamu, NKRI.";23 jam yang lalu
@bucek2247;Awalnya tolak iphone krn TKDN seperti singa, ujungnya kucing kurap TKDN dihapus Iphone boleh masuk😂😂;23 jam yang lalu
@azharKamal-g9f;"Golkar : ""memperlancar MBG"". Aduh masih aja";23 jam yang lalu
@Ahmadkuryonosw;Mantab tapi MBG banyak anak keracunan;23 jam yang lalu
@hendrimpa4073;Mantap pak 😊😊😊;23 jam yang lalu
@SevenlyLegit;TP TETEP INVESTOR PADA KABUR DARI INDO AH;23 jam yang lalu
@Mr.jacknoe;Kok gk ada master xi jinping??;23 jam yang lalu
@bimbingekoharjanto4106;Ssmua Pengamat sebaiknya Mengawal dan memotifasi  agar Negara & Pemerintahan yg menggolontorkan Program kerakyatan yg membutuhkan Dana Besar terus di dukung sekaligus di Kawal agar lembaga, menteri, Dirjen, irjen, BUMN, BUMD tidak terjadi lagi. KORUPSI yang selama ini jadi BUDAYA Pejabat harus kita Laporkan PRESIDEN. Kita Rakyat & Kita Orang Lapangan. Haris LAPOR pada BELIAU.;23 jam yang lalu
@Mr.jacknoe;MBG harus di audit korupsi terbesar 😢;23 jam yang lalu
@jokosuyanto7896;Bangganya Rakyat Indonesia mempunyai presiden Prabowo❤🫰;23 jam yang lalu
@Purwantoi7k;Data ini menurut indo aja, biasa menang di medsos aja 😅😂;23 jam yang lalu
@hend313;Belum 5 Bulan, mantap pak Prabowo.;23 jam yang lalu
@74nie490;Asli lah....temen deket nya Jokowi;22 jam yang lalu
@RudyeX;@74nie490  ah ngk yg satu itu kebanyakan drama. Mengalahkan  Drama korea;21 jam yang lalu
@Fabian-hj3kv;Malaysia masuk g20 aja gk;23 jam yang lalu
@Anji.k-r6j;gak ngaruh....gk ada manfaatnya. .presiden Vietnam gk terkenal tapi investor banyak yg masuk;23 jam yang lalu
@Gamernub01;Abah peringkat  1 di dunia halu😂;23 jam yang lalu
@yosuakedoh2536;Mantap tim yg menilai kbtulan semalaman  begadang smpe pagi mkx mrk PD ngantuk semuax😂😂😅;23 jam yang lalu
@nonsense1801;Peringkat yg tdk penting.;23 jam yang lalu
@herlambang3975;SURVEI2, termasuk Survei LN itu bisa diatur oleh yang pesan, yang penting duiiiit...😜😜😜😜😜😜😜😜😜😜😜;23 jam yang lalu (diedit)
@herlambang3975;🤭🤭🤭🤭🤭😜🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣;23 jam yang lalu
@Freethingkers;"Itu kan cuman reguler saja.urut urutan

Prabowo itu tdk sukses domestik

Blangsak malah";23 jam yang lalu
@Prabuprafu2021;Pasti ada yang nyinyir dan mbully prestasi Pa'Prabowo sebagai Presiden RI mengalahkan beberapa Presiden - Presiden Negara Maju ✊🇮🇩✊;23 jam yang lalu
@arifrahman3592;52% Itu karena takut deh makanya di vote😂😂😂;1 hari yang lalu (diedit)
@TeinNanulaitta;Kejadian kejadian kejadian kejadian kejadian kejadian kejadian kejadian kejadian kejadian kejadian;1 hari yang lalu
@bambangsaputra5993;Setuju bang hensa , pemerintahan saat ini harus fokus perbaiki sisi ekonomi;1 hari yang lalu
@kibaltunus8762;"Warga rt 24% dan low bat 16% ngumpet kemana ya????
Pemirsa ILC dan Karni Ilyas menonton berita ini nggak??";1 hari yang lalu
@DadangSupriatna-f6l;Ya prcuma sj hnya untk trppler...mmng rakyat mau di ksh kpplran trsbut...rakyat mah yng pntng bs cr rejeki untk mnghdpi klrga dan bs mkn s'hari2 dan mdh mncri pkrjaan, kpplran ga pngruh buat rakyat kcl mah.;1 hari yang lalu
@Amed-p5p;Kirain yg paling populer pemimpin Demo mahasewa;1 hari yang lalu
@RamlanMaradika;Kalau Anis pasti 100% ,terpopuler di dunia,dalam bidang pengelolaan kata,dan pintar mengutang,🤣🤣🤣🤣;1 hari yang lalu
@SuKono-e8x;Begitu banga bangsa indonesia mempunyai pemimpin hebat2.wl negara masih kurang baik tp ttp percaya inyaalloh indonesia akan lbih baik❤❤;1 hari yang lalu
@dikasinamo563;"""mereka"" bilang pak Anies dan pak Ganjar terpopuler,tp di rumahnya masing'🤣🤣🤣";1 hari yang lalu
@nenengmulyati8497;Ini survei bagus loh di buktikan dengan data, bukan data occrp😂;1 hari yang lalu
@radityagunadharma2062;"Akan lebih mengagetkan lagi, jika Pertemuan G20 selanjutnya di indonesia, diadakan di IKN IBUKOTA NUSANTARA..
🤣😂🤣😂

Banyak Orang pembenci Jokowi & Gibran pun pasti bakalan nangis..
Hahahaha...";1 hari yang lalu
@PADLIZulfikar;Mantp prabwo❤❤❤❤❤❤❤;1 hari yang lalu
@yusufkhalwani9537;Betul itu;20 jam yang lalu
@Fabian-hj3kv;Tidak penting bagi pengangguran pendukung abah;23 jam yang lalu
@nonsense1801;"@Fabian-hj3kv  abah siapa?
Jgn berasumsi liar.

Coba jelaskan apa pentingnya peringkat2 spt itu?
Dasar menilaian sj tdk jelas. Siapa yg memberi nilai jg tdk jelas.

Lalu apa kontribusinya bg bangsa?
Bs ngurangin korupsi, preman, kriminal, & bs buka lapangan pekerjaan?
Silahkan jelaskan";23 jam yang lalu (diedit)
@ahaxyz;Memang sesakit itu ya klo kalah. Survei by Reuters padahal ... 😆;23 jam yang lalu
@Fabian-hj3kv;Survei global mana bisa diatur, apalagi survei tentang pemimpin g20;23 jam yang lalu
@Dodopampam1;Kasihan adek ini;22 jam yang lalu
@Fabian-hj3kv;Pret;23 jam yang lalu
@TheFitsan;kepanasan ya;22 jam yang lalu
@WARzone568;Ini baru pemimpin...;1 hari yang lalu
@dedehidayat9974;"para pembenci tutup mata akan hal ini...
soal ny klo mlek pasti kepanasan... 😂😂😂";1 hari yang lalu
