Comment,Label
jepey gmpng banget ,1
el pistol,0
suranya fiersa besar,0
ishowspeed yo bro,0
wasit nya sipit wkwk,0
awoo,0
pas jefri nya aja suruh sebutin nama keras pas edwin nyuruh kyknyaa ga masuk akal jefri yg brutal sadis gak sabar ituu nunggu edwin cari kek apaa gimanaa gituu loh nunggunyaa edwin yg cepet banget nganalisa khristo ponakan hanyaaa pinter gambar kyk maksaa bgt emang sih jok sengaja mudah clue karn emang khristo ponakan yaa edwin menganalisa kuatt gitu loh gampang tebak kalo nganalisanya gitu khristo jawab gatau bener engga kasi saran pas khristo ponakan scene khristo yg tonton percaya bener ponakan ehh plot twsitnya jawab jefri kayak bikin gong,0
mantap jiwa main         rezeki nomplok,1
mama takut,0
awo,0
gassss,0
gua suka film gak tuju komplain lu aja yg gak faham cuy gak nyimak isi film nya,0
klo korea hoki hasil skor segi main kalah,0
mah main properti khiasan,0
gak kenal karakter gak nonton animenya v,0
goodjobs adek adek abgkemenangan komentar pedas adek adek abg menang menang untung peluang peluang cipta indonesia sayang sayang stricker ragu duel vs korea butuh finishing maksimalkeberuntungan laga menang indonesia mantap adek adek abg kali maksimal peluang peluang cantik yaa,0
promo batas bonus cumacuma gercep daftar ,1
maen siangsiang lgsng big win,1
cape bangett,0
negara korupsi ngapain de bain,0
web baik asia gak salah pilih weton gni,1
langsung  bang,1
berkat    o ubah pegawai hari bos usaha,1
seru liat dunia gadget yg lomba nampilin maju teknologi dr brand tp heran sma brand yg tampil gtu aja,0
bangga rakyat indonesia presiden prabowo,0
main    o bikin happy banget hasil gacir abis,1
busett cerahh banget  encess koinya ngasih mulu,1
hadir,0
kemalkamil buktiin lh klo galaxy z flip koar komentar sosial media,0
gua ambil smester bg wkwkwkwk,0
wede aman sketer banget,1
mainananakfr gk cari forum youtube lingkung gua gk yg pake foldable nya samsung gk ad tuh tau paham pakai rawat gk luoa pakai yg nama samsung care berjagajaga jika aja nilai nilai komentar nerizen yg suruh buktiin beneran barang gk aja gk btw nyari wikipedia brolucu ente,0
patut apresiasi kiper indonesia panji bagus cepat ambil tindak hebat ukur nya yg segitu hebat,0
untung bikin cinta     thank you,1
wow,0
gamenya gacir maen jepe,1
mahalbet,0
el nyair el ngusep,0
kerja tinggal orangy,0
hdr,0
kirain bg paropo bromo bareng king ruckie,0
rakyat yg lapar lu lapar,0
bang coba kakasih,0
kiko enak tau,0
bang fery kalo dosen keren abis sihh,0
liat chanel ni keren bang,0
yoo coba weton modal k aja jepee,1
langgengprimaanggradinata kalo turut sih jd ga logis krn adegan jelas aja salah satpam sebentar nelpon keluarga trus panik krn keluarga ga hubung langsung ngacir pulang tp satpam minor sih ga ganggu,0
koleksi senjata s,0
next konten review hp tolong tes pubg bang jgn ml sma gensinbanyak yg nonton lu player pubgliat rekomen hp pubg yg muncul tiktok confirm luklo lu bagus org langsung beliklo gwlu org yg gw percaya rekomendasi hpklo lu g jdi beli hpnya jdi tolong bang pubg masuk review hp jgn ml mulu sma gensinkrna player pubg liat grafis pubgnya dpt fps terimakasih perhati,0
top parah sih,0
fitur keren,1
samsung flip ane kasus engsel redup redup aja eh mati total alhasil ngga gua pakai beli mahal mahal,0
gojo kiko gk bg,0
suara fiersa,0
ubur ubur ikan lele cari google leee,1
papua buruk yg tayang tv,0
anja intro cover lu tah the hanging tree cover mix ngelantur,0
isengiseng coba main     d    ahli rezeki terus,1
gatau pas jaman sma gama isu sampe ga sekolah berani ganggu,0
iya bang tuju banyakin konten kayak gin basic nya aja,0
review violet evergaden,0
kiko meyentuh ginjal harga,0
banyakin konten kayak gin mas ferry bantu banget anak anak kuliah bidang ekonomi administrasi,0
gokil gas menit weedey juta drama,1
unboxing kiko satoru jir,0
ya gw kesana raja ampat kalo jadiin kaya maladewa keren tuh,0
brewokmu keren bang,0
gak takut kkb ya bang papua tu takut karna kkb bang,0
mantap,0
hadirrr,0
hadirr,0
terima kasi rezeki ,1
bg jerome,0
mantap,0
wede aman sketer banget,1
wow,0
wih keren lu brosemangat bro,0
mikir loh mang medy udh upload aj,0
seru bngt,0
euro pegang argentina aja argen amerika,0
coba buka kode,0
keren banget bang salam jepe ,1
coba bikin film bang bagus deh judul ny the ngelantur gw masuk oscar,0
bang udah bangg,0
bilang gin kalao sinyal sengaja dimatiin sekolah tp yg notice jg pintu ga bsa dbuka dr dalem krn kunci pegang temen satu yg jalan bokapnya buka pintu krn pintu samping pakai kunci yg temennya keburu dibunuhmati pas tp wajar sih detil missed krn kilas diliatin nya,0
hadir,0
pake haircare jut rambut maneh kek rusak gara gara bleaching,0
knp dri kontent yg endingnya dgn pesanmarketing,0
udah cape cape ngelupain eh ingetin,0
kabupaten kaimana bangdisana enak tempat kaya raja ampat,0
kepala kau kiko,0
not ur cup of tea aja bang skip aja gw enjoy nonton review,0
suka banget bang konten abang lupa ences weton gampang pecah,1
freeport ambil emas kantong,0
iya bak nyambung gojo mati belah sukuntul arias sukuna bak ehe,0
gw demen gas  wkwkwkww seru sih mah,1
bang jam segitu menang w ,1
,0
f,0
coba lgsng jepe kali,1
jujur film gw ama lu bang massif kaya lotr judul and gw tuju sih film kurang plot instant act film ngulur doang edwin kepung ruang plot pas film eksplor tpi lebih gw mas dapet tensi tegang cerita plot twist nya jujur tebak gw pas tengah film joko anwar literally christopher nol nya indonesia jir wkwk suka idealis,0
tam pin bangg,0
modal langsung gacir     nggak nyangka banget,1
udh idup bg,0
oii,0
malaysia hype filem blood brothers astro shaw nonton malaysia bro,0
yg tunggu,0
pulanh luwh,0
intro bang timothy kesini bagus tpi gw mlh kangen ya intro simpel,0
terima kasih obat rindu raja ampat tinggal tiplol mayalibit,0
        tarik guna,1
ngelantur taste nya bagus teliti liat film orang cinta film genre movie negeri erti review tastenya film horror indonesia laris ngehujat tau film kelas,0
makasih papua barat daya raja ampat,0
kiko juta,0
permisi mas niat jual akun youtube nya iya no kontak tera deskripsi,0
jd abg ku gojo yg beli kiko bener gara abg ku baca mangakomik nya gojo belah jd kiko bunuh sukuna ambil alih tubuh megumi klo g slhyg tau aj,0
kiko satoru,0
otw jt cuyy yok give away aq bg,0
kelas king,0
maaf mas audio tolong baik suara mas kecil suara clip film gede,0
bersukur tlah surga dunia,0
bang coba bahas strategi tiktok mati umkm indonesia adu tiktokshop pasar tanah abang,0
epic moment ,1
berisik cuan rungkad iya,0
selamat presiden prabowo pimpin populer dunia sehat cerdas sukses umur jadi indonesia maju,0
sketer jepek,1
hadir,0
happy banget dapet rezeki  benerbener puas,1
barusan coba emng iyah sih wd bang makasih yah rekomendasi ,1
edwin ga salah sepenuh gitu karna nya ortunya bakar kakak kaos trs tewas kayak orang lain mental suruh jaga orang lain mental deh nih film,0
tempel mana tuh kamera,0
nntn youtube ngerasa bawa tualang aja arsal bahtiar fiersa besar,0
iya gua ngeh scene ganjel film ajar silence of the lambs gua beres lgsg concern cerita film kait twist ending nya yg gua gak film bang jok gua bandingin film oldboy pikir ya film action indo tuh susah banget cerita magnificent beda kaya oldboy paket lengkap,0
kerennnn,0
adopt me ayah upi,0
wo,0
wede kali gacir bener sih,1
muka nya ya baju kuning bungkus bang lumayan gang bang,0
mantap jelas pake bahasa mudah orang awam erti saran teori deskripsi istilah kasih contoh kasus bang udah realita indonesia negeri biar orang awam mudah cerna thanks a lot abang lanjut sukses teruss moga amal jariyah aamiin,0
swert bonanja gacir banget mantul,1
kaget bang intro pdbd epic gitu bang timo version,0
hadir,0
gacur parah udh wede berkalikali,1
makan suara iihh g malu yaa,0
abis baca review weton,1
asiknya main bareng tementemen a   seru,1
adearianavtbv memang wikipedia fakta ambil wikipedia ente sercing lemah hp samsung flip fold muncul wikipedia dluan wikipedia ane saranin yutup fourm forum fb emang daerah ente ngga pakai angka ente ngga memang ente absenin orang sana biar tau ngga emang tau yah ente beli aja coba rasain pakai tahun,0
keren banget bang salam jepe ,1
kali mampir nonton konten abang keren banget konten luu bang asa ikut traveling,0
pas banget makan notif,0
d   a     ubah karyawan bos usaha,1
kalo gw market indonesia gak media sureal kayak ena ato gamenya dream bbq,0
gw tonton dah reviewnya,0
sang kiko satoru,0
sinematografi ngelantur,0
gojo kalah sukuna belah,0
jujur klo main mending weton bang,1
internet kalo gasalah dijelasin buk ana kalo emang dimatiin bang gabisa akses internet karna gitu pas scene edwin ngambil kunci ointu emergency mutusin kabel alat dipake mutusin internet sekolah,0
suka bgt huawei tp sayang halang sistem oprasi nya install apk sulit batas upgrade sistem apk ribet,0
hadeeeeerrrr,0
percaya ngga percaya desa pupuk mahal pake kartu tani gimana swasembada pangan sadar rezim selese,0
tim yg langsung beli nonton kagak,0
keren sih  main bentar auto jepe,1
gacir banget main ,1
mantap bro,0
mantap main weton rezeki alir deras,1
wede gacir banget sih,1
inflasi,0
beliin donk bang,0
jayapura kaks wisata,0
aqilaputrianjani terima nyata,0
bang coba beli figura boboyboy sori bagus banget,0
jujur klo main mending weton bang,1
awoo,0
terima kasi rezeki ,1
party queen,0
suara fiersaapakah isi suara d youtube fiersa arsal,0
sukaaa bangettt ,1
hadiah,1
senyum senyum nang nang sendir,0
film absurd,0
ih lucu,0
,0
konten manfaat bang lanjut plis,0
terimakasi indah nyata papua,0
bang bikin konten korupsi indonesia bang tanggulang cepat rakyat turun jalan jabat indonesia jujur,0
kerja bi doktrinharapan dosen ilmu ekonomi mahasiswa,0
bang react movie blood brother bara naga confirm view abg,0
awoo,0
awoo,0
izin bagi alam nonton kalo ngeliat sudut pandang dibuild negara udah kacau tambah ras tuh masuk akal kalo laku anak brandalnya brutal umur cari jati sayang ketemu sengklek pas si bapak rangga disksa akan ken nunjukin kalo beneran kejam loh pas si jefri beneran ngebakr rangga kayak shock malo turut laku dar nunjukin kalo kuat emang beneran ken ngebunvh orang ken liat jago aja emang brutal kayak gitu negara sempet diam shock beneran ngebunvh orang dar bikin babak bur adegan bocor lupa edit turut pas kamar si edwin nelpon ana malam kepung bocor screen hp liat muter video layar telpon kalo setel video suka tombol playpause next garis durasi bocor detik gatau emang lewat pas edit sengaja dibiarin,0
hasil gacir bikin puas main     makasih,1
intro pamer sinematografi gadget,0
gak nyangka kali coba    a langsung dapet rezeki nggak duga,1
makswin brusan starlight nggak nyangka,1
minta mgm mnurut gw yah lo liat dah kdrama yg jarang nampilin adegan gk senonoh macem hollywood tv series gitu yg aja bed scene nya jdinya kdrama yg menuhin unsur bgitunya nahh film ini ph nya mgm yaa menuhin unsur yg negara hollywood nya whichas usa yg bnyk rasisme nya,0
awo awo,0
ntt kaks,0
,0
coba r yg bang pulau misol,0
oi,0
gojo kw ituh gojo rill tuh kaya es kiko,0
kiko enak tauuu,0
jakpot bikin bahagia kali main ,1
a kiko satu muichiro satu bodo,0
parah banget bonannja gaciir pol gak rugi,1
terimakasih om ferry ilmu ilmu ekonomi nya jujur gua nggk ngerti ilmu,0
puasa bang,0
kelik bait,0
gua sampe bikin sesak nafas emosi sampe bikin bini gua gigit jari gua saking greget,0
lumayan loba endrose mamang ayeuna mah republik seafood jeung dana mantap mamang,0
,0
cakep kali  bravo,1
pingwing beneran njir liat aja chapter baru,0
harga gojo mahal gara udh kiko udh mokad wkwkwkwk,0
ferdinanaditya bang,0
orang nya krna pulau hidup krna orang rantau dr jawa sulawesi klo papua lepas ku ekonomi parah kaca dg timor leste jonipegadaian,0
spill biaya bng,0
hadir,0
alhamdulillah nak selamat nak ya,0
yg chanel akun bg,0
bang udah bang,0
rezeki duga   l makasih,1
a    sedia platform ekspresi kreatif,1
pingin kayak arsal bismillahh,0
jepe maen nggak prnh gagal,1
sehat rezeki weton,1
kerja bareng orang hidup damai,0
bang gojo asli,0
hadir,0
moga papua nikmat alam nya indah,0
d indo gabakal laku sih susahgaji umr pegawai nya aja minim harga hp nya kecuali kalang lgi beli tuh hp,0
terimakasih ilmu,0
alhamdulillah dlu tugas sorong pltd klasaman th mudah kunjung lg,0
klo yg pegang bola hrsnya temenya deketinsupaya bs ngoper klo rebut lawaneh indo mah pd ninggalin pd lari,0
muka medy renaldy kak ismeissei,0
banget suarany fiersabesari,0
awoooo,0
gojo jt ril coy,0
top tier fashion lokal sgnr,0
unboxing son goku ultra instinct bg,0
yok,0
jujur sreg karakter bu ana gitugitu aja bener make sense sayang ga dieksplor potensi,0
surga papua tenang,0
mobil jual,0
bang review sinner bang nungguin,0
nama comment ngelantur,0
bang gua gak tipu aja pas udah buka main aja kalo segel bang bohong bohong masuk neraka,0
populer  member jepee,1
kak coba beli figur sakura,0
hadir tool,0
bang beli main mortal kombat,0
kiko harga barumembuat dompet kering,0
mantap ya bg kiko kalo usul nya mt kiko ya sebener nya ngarang sih bhs nya biar sopan gitu ya ya kiko b,0
es kiko,0
nice bang,0
love itsukses sehat kang,0
swert bonanja benerbener gacir banget,1
hobi lawan,0
rezeki a s emang gak dua terima kasih ya allah limpah rezeki,1
lawak dek,0
bahagia banget rezeki berkah    o,1
swert bonanja gacir modal jepek,1
konten tarik nih bang abis figure one piece bang yg bawah rb jt medyrenaldy,0
swert bonanja gacir pol nggak prnh zonk,1
film bagus tuju puas ekspektasi bahas selesai konflik masyarakat pusat konflik orang individu opini orang awam aja sih opinipribadi,0
gak kecewa nonton video manfaat seru dp k weton,1
kak ngomong ganteng nya,0
mending beli kiko,0
makan racun gratis yg bangga,0
kk harga ribu kk,0
murah sapai mahal kali,0
gak nonton film nonton review nya krn film gak bgtu tarik film suka ama serial netflixnya nyampur ama realita ama imajinasi,0
gua ken joko anwar ngebangun universe superhero indonesia,0
rezeki limpah kali main d    benarbenar,1
gojonah id win akhirnyajadi kiko belah,0
manokwari bang,0
pulau biak numfor,0
ertepenya banget nggak nyesel maen,1
air biru jernih jogja,0
nendoroid gojo,0
kiko enak tau,0
bg udah bg,0
opm a,0
vibes nya asa ntn fiersa besar,0
kesana daya uang ku pada,0
maaf lambat bang semangat ya salam  gampang jepe,1
bang gojo udah mati belah,0
seru banget main        selain hibur seru menang gacir,1
jago bang alur nya keren ambil nya keren bangg,0
keren,0
akhirnyaa salam  gampang jepe,1
kak mending kasih ajaaku beli nendoroid ngga uang nya ken beli biji jt kak,0
konten sifat spoiler yg nonton film nya pliss jgn nonton karna konten sifat spoiler yg gamasalah yaudah sokin aja atuh,0
jepey trs di,1
hubung gojo badan pas mati belah v,0
iya potek kaya es kiko,0
kampung yg makassar cari raja ampat ketemu org bantu ajak tmpat wisata masuk gratis kali biru,0
awooo,0
bang video kerennnn bangetttt,0
main  o   gampang banget menang hasil,1
video search route terbang kuala lumpur malaysia sorong indonesia destinasi terus terima kasih,0
gua tunguni bang krna didik formal gua d ekonomi semenjak smkin dewasa smkin paham ekonomi apalgi fokus ekonomi bisnis,0
swert bonanja makswin puas banget,1
celana chino skrg kek outdated up to date ankle formal gurkha,0
untung  e      a milik rumah nyaman,1
gimana endingnya kirim nggak uang,0
bayangin ngelipatnya balik,0
weton keren banget,1
ngelantur tameng tangkis film baik keren tangkis objektif serta alas bbrp solusi,0
bang medy main gojo threezero ngak jual malaysia kah bang,0
oykel dih abidzar mah bego ngapain coba lu bawa pdhl aktor yg bagus,0
ganti tonto pacar kmu,0
buka pagi spin  beres,1
jaman gundala putar pelir gitu kek sih jok bawa bawa isu sosial cringer abis,0
gak kecewa nonton video manfaat seru dp k weton,1
ga video suara turun banget ga video kadang suara banget kaget pelan pelan turun violumenya,0
tetep orang orang,0
aja hidup jokowisama antek nya,0
hadir,0
swert bonanja mekswin modal aja,1
makswin wede lancar banget,1
keenan hyu baltoss mumpung tinggal jalan euy,0
akhirnyaa,0
awesome,0
pasar malam bang,0
gamenya gacir sketer nggak prnh zonk,1
emang abis segitu nya,0
,1
pintar rendah,0
oi,0
ertepenya banget nggak nyesel maen,1
pov davin,0
,0
lapor dana rutilahu kabupaten sumedang korupsi awas laksana mohon selidik,0
suka banget bang konten abang lupa ences  gampang pecah,1
hadirr,0
editor kameramennya baik,0
seru banget main a h        gak nyangka menang,1
seru kang kepyapen jamin aseek,0
kiko satoru,0
rekomen biak bangdi jamin tdk sesal,0
cair kakak mantap banget cuan weton,1
anyr lu,0
blazer lu beli mana bang,0
lanjut content ekonomi bang,0
apa fakta lapang beda,0
ishtarsummernfcg iya akting yg bilang akting main jelek banget sempet heran buruk,0
indonesia negara maju,0
jt bagus oh iya spill nagi bluelock,0
awoo,0
asah pasing main lawan standart bangga timnas muda proses main bola indonesia artis bola indonesia,0
rani rani lucu loh wkwk,0
dapet bonus deposit emang banget ,1
rezeki wetonbikin hari makna terima kasih,1
spoilers alert yng inspirasi manga nya gojo mati belah rana kalah sukuna,0
bang kasih referensi baca bang,0
anak indonesia pertumbuham bada turun pendek saing jepang yg cepat lompat anak korea bada bagus bgt anak,0
bang channel reviewmengulas gantung pov ulas,0
yoo,0
yg tau tas nya tipe coba kasih tau gua,0
,0
tim kelana bentalatim atap negritim markicab collab camping bareng ric snt nusa manona,0
nunggu endingnya,0
ferryschannel oh gitu ya masuk akal,0
gokil konten keren,0
notif langsung nonton habis jepe weton,1
paniaidogiai intang jaya,0
gpp bagus kritik logis biar bang joko mikir keras next gilak edan bikin film nya,0
ujung nyuruh donlod apk,0
gk bahas qodrat bang,0
akeyah anak yatim keren booyah,0
nyimak abang weton cair mulu,1
baca manga nya be like senyum dosa gw,0
mininmal klo komen sesuai sma konten orng ngontenin ap komennya aneh laporin aja lh gajelas haram,0
guys udah nonton film pas ending fokus gara gw ga tau keponakan edwin yg udah nonton tau ga yg keponakan edwin,0
uwu,0
info skincare lu ling,0
salam bang kritik dikit ngga tau sih komentar baca please keep it down volumevolume sound effectsnya salah nonton pake headphone ganggu suara tibatiba keras video review abang si aware hearing health ya kasihan orangorang pake headphone volume lumayan volume aja nggak nyaman suara keras kaya gitu bikin dengar trauma syukur permanen hearing lost telinga sensitif suara keras nusuk trigger epilepsi btw beda ya bioskop dengar suara keras jumpscare suara sound system bioskop nggak langsung tembak telinga sound volume gin udah atur standar bioskopp cmiiw ya reply ya turunin aja volume headphonenya sih volume vocal abang kadang nggak balance udah channel youtube indonesia ingatin ya responnya tengil sih review abang udah toptierlah nggak wkwk tuju makasih udah baca,0
aja    bikin penasaran excited,1
ga ngerti jefri ponakan gw ponakan diabisin jefri,0
jiemsrock bener ga,0
bang lu review kiko ya bang,0
tangan sukuna,0
perrtamaa,0
hadir bg,0
oke bang dapat cuman kmrin sy nilai wkwkwkw jd kritis nilai film jd suka nnton ngelantur,0
suka gimana update,1
review blood brother bara naga bg,0
bang review film sinners donggg,0
njir konten iklan,0
bener barusan selesai nonton bagsu tegang dapet orang belah gua sampe kaki kursi sakung takut trauma banget sih gua turun tionghoa barusan pas pulang bioskop rada takut dikit orang bsia benci sampe kayak gitu ya film gila kalo gua mantap bang joko anwar fresh,0
wede cepat proses gampang recommended,1
moga allah swt mmberi sehat umur pnjg pk prabowo km rakyt sngt bangga,0
,0
mudah awet layar,0
signal jammer sekolah dimatiin edwin bang,0
anti islam,0
banyu biru,0
manfaat populer ya negara susah fakta,0
tunggu bab bab bang,0
yg lu maksud surealis cuman pandang lu yg sampe anggap masuk akal udah bilang surealis wkwkwkwwkwkwkwkwkw,0
biak bang,0
merauke,0
skill bagus ga bikin gol nama bro,0
gacur parah modal receh makswin,1
vlog poliska,0
